r,j,k,l,f,trace,ipc
1,2,2,1,8,mcf,0.995837
1,2,2,2,4,gcc,0.99994
1,2,2,2,4,gobmk,0.99983
1,2,2,2,4,hmmer,0.99996
1,2,2,2,4,mcf,0.998582
1,2,2,2,8,gcc,0.99994
1,2,2,2,8,gobmk,0.99983
1,2,2,2,8,hmmer,0.99996
1,2,2,2,8,mcf,0.998582
2,1,1,1,4,gcc,1.285793
2,1,1,1,4,gobmk,1.291656
2,1,1,1,4,hmmer,1.269696
2,1,1,1,4,mcf,1.255067
2,1,1,1,8,gcc,1.285793
2,1,1,1,8,gobmk,1.291656
2,1,1,1,8,hmmer,1.269696
2,1,1,1,8,mcf,1.255067
2,1,1,2,4,gcc,1.533601
2,1,1,2,4,gobmk,1.572599
2,1,1,2,4,hmmer,1.482426
2,1,1,2,4,mcf,1.517934
2,1,1,2,8,gcc,1.533601
2,1,1,2,8,gobmk,1.572599
2,1,1,2,8,hmmer,1.482426
2,1,1,2,8,mcf,1.517934
2,1,2,1,4,gcc,1.524599
2,1,2,1,4,gobmk,1.567619
2,1,2,1,4,hmmer,1.492047
2,1,2,1,4,mcf,1.544545
2,1,2,1,8,gcc,1.524599
2,1,2,1,8,gobmk,1.567619
2,1,2,1,8,hmmer,1.492047
2,1,2,1,8,mcf,1.544545
2,1,2,2,4,gcc,1.656205
2,1,2,2,4,gobmk,1.697591
2,1,2,2,4,hmmer,1.604467
2,1,2,2,4,mcf,1.70042
2,1,2,2,8,gcc,1.656205
2,1,2,2,8,gobmk,1.697591
2,1,2,2,8,hmmer,1.604467
2,1,2,2,8,mcf,1.700449
2,2,1,1,4,gcc,1.635056
2,2,1,1,4,gobmk,1.633053
2,2,1,1,4,hmmer,1.579978
2,2,1,1,4,mcf,1.56676
2,2,1,1,8,gcc,1.635056
2,2,1,1,8,gobmk,1.633053
2,2,1,1,8,hmmer,1.579978
2,2,1,1,8,mcf,1.56676
2,2,1,2,4,gcc,1.836817
2,2,1,2,4,gobmk,1.803492
2,2,1,2,4,hmmer,1.718833
2,2,1,2,4,mcf,1.75642
2,2,1,2,8,gcc,1.836817
2,2,1,2,8,gobmk,1.803492
2,2,1,2,8,hmmer,1.718833
2,2,1,2,8,mcf,1.756451
2,2,2,1,4,gcc,1.847063
2,2,2,1,4,gobmk,1.795848
2,2,2,1,4,hmmer,1.754478
2,2,2,1,4,mcf,1.771793
2,2,2,1,8,gcc,1.847063
2,2,2,1,8,gobmk,1.795848
2,2,2,1,8,hmmer,1.754478
2,2,2,1,8,mcf,1.771824
2,2,2,2,4,gcc,1.925336
2,2,2,2,4,gobmk,1.881822
2,2,2,2,4,hmmer,1.834055
2,2,2,2,4,mcf,1.878852
2,2,2,2,8,gcc,1.925336
2,2,2,2,8,gobmk,1.881857
2,2,2,2,8,hmmer,1.834055
2,2,2,2,8,mcf,1.878887
3,1,1,1,4,gcc,1.28861
3,1,1,1,4,gobmk,1.316846
3,1,1,1,4,hmmer,1.272621
3,1,1,1,4,mcf,1.258732
3,1,1,1,8,gcc,1.28861
3,1,1,1,8,gobmk,1.316846
3,1,1,1,8,hmmer,1.272621
3,1,1,1,8,mcf,1.258732
3,1,1,2,4,gcc,1.565166
3,1,1,2,4,gobmk,1.608985
3,1,1,2,4,hmmer,1.504732
3,1,1,2,4,mcf,1.537586
3,1,1,2,8,gcc,1.565166
3,1,1,2,8,gobmk,1.608985
3,1,1,2,8,hmmer,1.504732
3,1,1,2,8,mcf,1.537586
3,1,2,1,4,gcc,1.566735
3,1,2,1,4,gobmk,1.603746
3,1,2,1,4,hmmer,1.517934
3,1,2,1,4,mcf,1.569292
3,1,2,1,8,gcc,1.566735
3,1,2,1,8,gobmk,1.603746
3,1,2,1,8,hmmer,1.517934
3,1,2,1,8,mcf,1.569292
3,1,2,2,4,gcc,1.727951
3,1,2,2,4,gobmk,1.8671
3,1,2,2,4,hmmer,1.692563
3,1,2,2,4,mcf,1.850687
3,1,2,2,8,gcc,1.727951
3,1,2,2,8,gobmk,1.8671
3,1,2,2,8,hmmer,1.692563
3,1,2,2,8,mcf,1.850687
3,2,1,1,4,gcc,1.68956
3,2,1,1,4,gobmk,1.699871
3,2,1,1,4,hmmer,1.625144
3,2,1,1,4,mcf,1.598338
3,2,1,1,8,gcc,1.68956
3,2,1,1,8,gobmk,1.6999
3,2,1,1,8,hmmer,1.625144
3,2,1,1,8,mcf,1.598338
3,2,1,2,4,gcc,2.0008
3,2,1,2,4,gobmk,2.02774
3,2,1,2,4,hmmer,1.867379
3,2,1,2,4,mcf,1.892828
3,2,1,2,8,gcc,2.0008
3,2,1,2,8,gobmk,2.02774
3,2,1,2,8,hmmer,1.867379
3,2,1,2,8,mcf,1.892828
3,2,2,1,4,gcc,2.048887
3,2,2,1,4,gobmk,2.020774
3,2,2,1,4,hmmer,1.924335
3,2,2,1,4,mcf,1.984954
3,2,2,1,8,gcc,2.048887
3,2,2,1,8,gobmk,2.020774
3,2,2,1,8,hmmer,1.924335
3,2,2,1,8,mcf,1.984954
3,2,2,2,4,gcc,2.366752
3,2,2,2,4,gobmk,2.304625
3,2,2,2,4,hmmer,2.206385
3,2,2,2,4,mcf,2.3245
3,2,2,2,8,gcc,2.366752
3,2,2,2,8,gobmk,2.304625
3,2,2,2,8,hmmer,2.206385
3,2,2,2,8,mcf,2.324554
4,1,1,1,4,gcc,1.28861
4,1,1,1,4,gobmk,1.316846
4,1,1,1,4,hmmer,1.272621
4,1,1,1,4,mcf,1.258732
4,1,1,1,8,gcc,1.28861
4,1,1,1,8,gobmk,1.316846
4,1,1,1,8,hmmer,1.272621
4,1,1,1,8,mcf,1.258732
4,1,1,2,4,gcc,1.565166
4,1,1,2,4,gobmk,1.609995
4,1,1,2,4,hmmer,1.504732
4,1,1,2,4,mcf,1.537586
4,1,1,2,8,gcc,1.565166
4,1,1,2,8,gobmk,1.609995
4,1,1,2,8,hmmer,1.504732
4,1,1,2,8,mcf,1.537586
4,1,2,1,4,gcc,1.567742
4,1,2,1,4,gobmk,1.60457
4,1,2,1,4,hmmer,1.519826
4,1,2,1,4,mcf,1.569292
4,1,2,1,8,gcc,1.567742
4,1,2,1,8,gobmk,1.60457
4,1,2,1,8,hmmer,1.519826
4,1,2,1,8,mcf,1.569292
4,1,2,2,4,gcc,1.727981
4,1,2,2,4,gobmk,1.868565
4,1,2,2,4,hmmer,1.702302
4,1,2,2,4,mcf,1.857079
4,1,2,2,8,gcc,1.727981
4,1,2,2,8,gobmk,1.868565
4,1,2,2,8,hmmer,1.702302
4,1,2,2,8,mcf,1.857079
4,2,1,1,4,gcc,1.69371
4,2,1,1,4,gobmk,1.705699
4,2,1,1,4,hmmer,1.625144
4,2,1,1,4,mcf,1.598338
4,2,1,1,8,gcc,1.69371
4,2,1,1,8,gobmk,1.705728
4,2,1,1,8,hmmer,1.625144
4,2,1,1,8,mcf,1.598338
4,2,1,2,4,gcc,2.024947
4,2,1,2,4,gobmk,2.037324
4,2,1,2,4,hmmer,1.879947
4,2,1,2,4,mcf,1.897785
4,2,1,2,8,gcc,2.024947
4,2,1,2,8,gobmk,2.037324
4,2,1,2,8,hmmer,1.879947
4,2,1,2,8,mcf,1.897785
4,2,2,1,4,gcc,2.07138
4,2,2,1,4,gobmk,2.029839
4,2,2,1,4,hmmer,1.943181
4,2,2,1,4,mcf,1.989496
4,2,2,1,8,gcc,2.07138
4,2,2,1,8,gobmk,2.029839
4,2,2,1,8,hmmer,1.943181
4,2,2,1,8,mcf,1.989496
4,2,2,2,4,gcc,2.411091
4,2,2,2,4,gobmk,2.361777
4,2,2,2,4,hmmer,2.262546
4,2,2,2,4,mcf,2.369388
4,2,2,2,8,gcc,2.411091
4,2,2,2,8,gobmk,2.361721
4,2,2,2,8,hmmer,2.262546
4,2,2,2,8,mcf,2.369444
5,1,1,1,4,gcc,1.28861
5,1,1,1,4,gobmk,1.316846
5,1,1,1,4,hmmer,1.272621
5,1,1,1,4,mcf,1.258732
5,1,1,1,8,gcc,1.28861
5,1,1,1,8,gobmk,1.316846
5,1,1,1,8,hmmer,1.272621
5,1,1,1,8,mcf,1.258732
5,1,1,2,4,gcc,1.565166
5,1,1,2,4,gobmk,1.609995
5,1,1,2,4,hmmer,1.504732
5,1,1,2,4,mcf,1.537586
5,1,1,2,8,gcc,1.565166
5,1,1,2,8,gobmk,1.609995
5,1,1,2,8,hmmer,1.504732
5,1,1,2,8,mcf,1.537586
5,1,2,1,4,gcc,1.567742
5,1,2,1,4,gobmk,1.60457
5,1,2,1,4,hmmer,1.519826
5,1,2,1,4,mcf,1.569292
5,1,2,1,8,gcc,1.567742
5,1,2,1,8,gobmk,1.60457
5,1,2,1,8,hmmer,1.519826
5,1,2,1,8,mcf,1.569292
5,1,2,2,4,gcc,1.727981
5,1,2,2,4,gobmk,1.868635
5,1,2,2,4,hmmer,1.702302
5,1,2,2,4,mcf,1.857079
5,1,2,2,8,gcc,1.727981
5,1,2,2,8,gobmk,1.868635
5,1,2,2,8,hmmer,1.702302
5,1,2,2,8,mcf,1.857079
5,2,1,1,4,gcc,1.69371
5,2,1,1,4,gobmk,1.705699
5,2,1,1,4,hmmer,1.625144
5,2,1,1,4,mcf,1.598338
5,2,1,1,8,gcc,1.69371
5,2,1,1,8,gobmk,1.705728
5,2,1,1,8,hmmer,1.625144
5,2,1,1,8,mcf,1.598338
5,2,1,2,4,gcc,2.024947
5,2,1,2,4,gobmk,2.039235
5,2,1,2,4,hmmer,1.879947
5,2,1,2,4,mcf,1.897785
5,2,1,2,8,gcc,2.024947
5,2,1,2,8,gobmk,2.039235
5,2,1,2,8,hmmer,1.879947
5,2,1,2,8,mcf,1.897785
5,2,2,1,4,gcc,2.072453
5,2,2,1,4,gobmk,2.030663
5,2,2,1,4,hmmer,1.943181
5,2,2,1,4,mcf,1.989496
5,2,2,1,8,gcc,2.072453
5,2,2,1,8,gobmk,2.030663
5,2,2,1,8,hmmer,1.943181
5,2,2,1,8,mcf,1.989496
5,2,2,2,4,gcc,2.42207
5,2,2,2,4,gobmk,2.364457
5,2,2,2,4,hmmer,2.266906
5,2,2,2,4,mcf,2.369444
5,2,2,2,8,gcc,2.42207
5,2,2,2,8,gobmk,2.364457
5,2,2,2,8,hmmer,2.266906
5,2,2,2,8,mcf,2.369444
6,1,1,1,4,gcc,1.28861
6,1,1,1,4,gobmk,1.316846
6,1,1,1,4,hmmer,1.272621
6,1,1,1,4,mcf,1.258732
6,1,1,1,8,gcc,1.28861
6,1,1,1,8,gobmk,1.316846
6,1,1,1,8,hmmer,1.272621
6,1,1,1,8,mcf,1.258732
6,1,1,2,4,gcc,1.565166
6,1,1,2,4,gobmk,1.609995
6,1,1,2,4,hmmer,1.504732
6,1,1,2,4,mcf,1.537586
6,1,1,2,8,gcc,1.565166
6,1,1,2,8,gobmk,1.609995
6,1,1,2,8,hmmer,1.504732
6,1,1,2,8,mcf,1.537586
6,1,2,1,4,gcc,1.567742
6,1,2,1,4,gobmk,1.60457
6,1,2,1,4,hmmer,1.519826
6,1,2,1,4,mcf,1.569292
6,1,2,1,8,gcc,1.567742
6,1,2,1,8,gobmk,1.60457
6,1,2,1,8,hmmer,1.519826
6,1,2,1,8,mcf,1.569292
6,1,2,2,4,gcc,1.727981
6,1,2,2,4,gobmk,1.868635
6,1,2,2,4,hmmer,1.702302
6,1,2,2,4,mcf,1.857079
6,1,2,2,8,gcc,1.727981
6,1,2,2,8,gobmk,1.868635
6,1,2,2,8,hmmer,1.702302
6,1,2,2,8,mcf,1.857079
6,2,1,1,4,gcc,1.69371
6,2,1,1,4,gobmk,1.705699
6,2,1,1,4,hmmer,1.625144
6,2,1,1,4,mcf,1.598338
6,2,1,1,8,gcc,1.69371
6,2,1,1,8,gobmk,1.705728
6,2,1,1,8,hmmer,1.625144
6,2,1,1,8,mcf,1.598338
6,2,1,2,4,gcc,2.024947
6,2,1,2,4,gobmk,2.039235
6,2,1,2,4,hmmer,1.879947
6,2,1,2,4,mcf,1.897785
6,2,1,2,8,gcc,2.024947
6,2,1,2,8,gobmk,2.039235
6,2,1,2,8,hmmer,1.879947
6,2,1,2,8,mcf,1.897785
6,2,2,1,4,gcc,2.072453
6,2,2,1,4,gobmk,2.030663
6,2,2,1,4,hmmer,1.943181
6,2,2,1,4,mcf,1.989496
6,2,2,1,8,gcc,2.072453
6,2,2,1,8,gobmk,2.030663
6,2,2,1,8,hmmer,1.943181
6,2,2,1,8,mcf,1.989496
6,2,2,2,4,gcc,2.42207
6,2,2,2,4,gobmk,2.364457
6,2,2,2,4,hmmer,2.266854
6,2,2,2,4,mcf,2.369444
6,2,2,2,8,gcc,2.42207
6,2,2,2,8,gobmk,2.364457
6,2,2,2,8,hmmer,2.266854
6,2,2,2,8,mcf,2.369444
7,1,1,1,4,gcc,1.28861
7,1,1,1,4,gobmk,1.316846
7,1,1,1,4,hmmer,1.272621
7,1,1,1,4,mcf,1.258732
7,1,1,1,8,gcc,1.28861
7,1,1,1,8,gobmk,1.316846
7,1,1,1,8,hmmer,1.272621
7,1,1,1,8,mcf,1.258732
7,1,1,2,4,gcc,1.565166
7,1,1,2,4,gobmk,1.609995
7,1,1,2,4,hmmer,1.504732
7,1,1,2,4,mcf,1.537586
7,1,1,2,8,gcc,1.565166
7,1,1,2,8,gobmk,1.609995
7,1,1,2,8,hmmer,1.504732
7,1,1,2,8,mcf,1.537586
7,1,2,1,4,gcc,1.567742
7,1,2,1,4,gobmk,1.60457
7,1,2,1,4,hmmer,1.519826
7,1,2,1,4,mcf,1.569292
7,1,2,1,8,gcc,1.567742
7,1,2,1,8,gobmk,1.60457
7,1,2,1,8,hmmer,1.519826
7,1,2,1,8,mcf,1.569292
7,1,2,2,4,gcc,1.727981
7,1,2,2,4,gobmk,1.868635
7,1,2,2,4,hmmer,1.702302
7,1,2,2,4,mcf,1.857079
7,1,2,2,8,gcc,1.727981
7,1,2,2,8,gobmk,1.868635
7,1,2,2,8,hmmer,1.702302
7,1,2,2,8,mcf,1.857079
7,2,1,1,4,gcc,1.69371
7,2,1,1,4,gobmk,1.705699
7,2,1,1,4,hmmer,1.625144
7,2,1,1,4,mcf,1.598338
7,2,1,1,8,gcc,1.69371
7,2,1,1,8,gobmk,1.705728
7,2,1,1,8,hmmer,1.625144
7,2,1,1,8,mcf,1.598338
7,2,1,2,4,gcc,2.024947
7,2,1,2,4,gobmk,2.039235
7,2,1,2,4,hmmer,1.879947
7,2,1,2,4,mcf,1.897785
7,2,1,2,8,gcc,2.024947
7,2,1,2,8,gobmk,2.039235
7,2,1,2,8,hmmer,1.879947
7,2,1,2,8,mcf,1.897785
7,2,2,1,4,gcc,2.072453
7,2,2,1,4,gobmk,2.030663
7,2,2,1,4,hmmer,1.943181
7,2,2,1,4,mcf,1.989496
7,2,2,1,8,gcc,2.072453
7,2,2,1,8,gobmk,2.030663
7,2,2,1,8,hmmer,1.943181
7,2,2,1,8,mcf,1.989496
7,2,2,2,4,gcc,2.42207
7,2,2,2,4,gobmk,2.364457
7,2,2,2,4,hmmer,2.266854
7,2,2,2,4,mcf,2.369444
7,2,2,2,8,gcc,2.42207
7,2,2,2,8,gobmk,2.364457
7,2,2,2,8,hmmer,2.266854
7,2,2,2,8,mcf,2.369444
8,1,1,1,4,gcc,1.28861
8,1,1,1,4,gobmk,1.316846
8,1,1,1,4,hmmer,1.272621
8,1,1,1,4,mcf,1.258732
8,1,1,1,8,gcc,1.28861
8,1,1,1,8,gobmk,1.316846
8,1,1,1,8,hmmer,1.272621
8,1,1,1,8,mcf,1.258732
8,1,1,2,4,gcc,1.565166
8,1,1,2,4,gobmk,1.609995
8,1,1,2,4,hmmer,1.504732
8,1,1,2,4,mcf,1.537586
8,1,1,2,8,gcc,1.565166
8,1,1,2,8,gobmk,1.609995
8,1,1,2,8,hmmer,1.504732
8,1,1,2,8,mcf,1.537586
8,1,2,1,4,gcc,1.567742
8,1,2,1,4,gobmk,1.60457
8,1,2,1,4,hmmer,1.519826
8,1,2,1,4,mcf,1.569292
8,1,2,1,8,gcc,1.567742
8,1,2,1,8,gobmk,1.60457
8,1,2,1,8,hmmer,1.519826
8,1,2,1,8,mcf,1.569292
8,1,2,2,4,gcc,1.727981
8,1,2,2,4,gobmk,1.868635
8,1,2,2,4,hmmer,1.702302
8,1,2,2,4,mcf,1.857079
8,1,2,2,8,gcc,1.727981
8,1,2,2,8,gobmk,1.868635
8,1,2,2,8,hmmer,1.702302
8,1,2,2,8,mcf,1.857079
8,2,1,1,4,gcc,1.69371
8,2,1,1,4,gobmk,1.705699
8,2,1,1,4,hmmer,1.625144
8,2,1,1,4,mcf,1.598338
8,2,1,1,8,gcc,1.69371
8,2,1,1,8,gobmk,1.705728
8,2,1,1,8,hmmer,1.625144
8,2,1,1,8,mcf,1.598338
8,2,1,2,4,gcc,2.024947
8,2,1,2,4,gobmk,2.039235
8,2,1,2,4,hmmer,1.879947
8,2,1,2,4,mcf,1.897785
8,2,1,2,8,gcc,2.024947
8,2,1,2,8,gobmk,2.039235
8,2,1,2,8,hmmer,1.879947
8,2,1,2,8,mcf,1.897785
8,2,2,1,4,gcc,2.072453
8,2,2,1,4,gobmk,2.030663
8,2,2,1,4,hmmer,1.943181
8,2,2,1,4,mcf,1.989496
8,2,2,1,8,gcc,2.072453
8,2,2,1,8,gobmk,2.030663
8,2,2,1,8,hmmer,1.943181
8,2,2,1,8,mcf,1.989496
8,2,2,2,4,gcc,2.42207
8,2,2,2,4,gobmk,2.364457
8,2,2,2,4,hmmer,2.266854
8,2,2,2,4,mcf,2.369444
8,2,2,2,8,gcc,2.42207
8,2,2,2,8,gobmk,2.364457
8,2,2,2,8,hmmer,2.266854
8,2,2,2,8,mcf,2.369444
